year,team,url,teams,url_comp_logo,url_team,team_alpha3
1989,Argentina,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Argentina_national_football_team,ARG
1989,Peru,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Peru_national_football_team,PER
1989,Ecuador,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Ecuador_national_football_team,ECU
1989,Uruguay,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Uruguay_national_football_team,URY
1989,Paraguay,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Paraguay_national_football_team,PRY
1989,Brazil,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Brazil_national_football_team,BRA
1989,Chile,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Chile_national_football_team,CHL
1989,Venezuela,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Venezuela_national_football_team,VEN
1989,Colombia,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Colombia_national_football_team,COL
1989,Bolivia,https://en.wikipedia.org/wiki/1989_Copa_América,10,//upload.wikimedia.org/wikipedia/en/a/a8/1989_Copa_Am%C3%A9rica_logo.png,/wiki/Bolivia_national_football_team,BOL
1991,Argentina,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Argentina_national_football_team,ARG
1991,Peru,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Peru_national_football_team,PER
1991,Ecuador,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Ecuador_national_football_team,ECU
1991,Uruguay,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Uruguay_national_football_team,URY
1991,Paraguay,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Paraguay_national_football_team,PRY
1991,Brazil,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Brazil_national_football_team,BRA
1991,Chile,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Chile_national_football_team,CHL
1991,Venezuela,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Venezuela_national_football_team,VEN
1991,Colombia,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Colombia_national_football_team,COL
1991,Bolivia,https://en.wikipedia.org/wiki/1991_Copa_América,10,//upload.wikimedia.org/wikipedia/en/thumb/c/c4/1991_Copa_Am%C3%A9rica_logo.png/220px-1991_Copa_Am%C3%A9rica_logo.png,/wiki/Bolivia_national_football_team,BOL
1993,Argentina,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Argentina_national_football_team,ARG
1993,Peru,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Peru_national_football_team,PER
1993,Ecuador,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Ecuador_national_football_team,ECU
1993,Uruguay,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Uruguay_national_football_team,URY
1993,Paraguay,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Paraguay_national_football_team,PRY
1993,Brazil,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Brazil_national_football_team,BRA
1993,Chile,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Chile_national_football_team,CHL
1993,Venezuela,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Venezuela_national_football_team,VEN
1993,Colombia,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Colombia_national_football_team,COL
1993,Bolivia,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Bolivia_national_football_team,BOL
1993,United States,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/United_States_men%27s_national_soccer_team,USA
1993,Mexico,https://en.wikipedia.org/wiki/1993_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/7/70/1993_Copa_Am%C3%A9rica_logo.jpg/180px-1993_Copa_Am%C3%A9rica_logo.jpg,/wiki/Mexico_national_football_team,MEX
1999,Argentina,https://en.wikipedia.org/wiki/1999_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/1999_Copa_Am%C3%A9rica_logo.svg/200px-1999_Copa_Am%C3%A9rica_logo.svg.png,/wiki/Argentina_national_football_team,ARG
1999,Peru,https://en.wikipedia.org/wiki/1999_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/1999_Copa_Am%C3%A9rica_logo.svg/200px-1999_Copa_Am%C3%A9rica_logo.svg.png,/wiki/Peru_national_football_team,PER
1999,Ecuador,https://en.wikipedia.org/wiki/1999_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/1999_Copa_Am%C3%A9rica_logo.svg/200px-1999_Copa_Am%C3%A9rica_logo.svg.png,/wiki/Ecuador_national_football_team,ECU
1999,Uruguay,https://en.wikipedia.org/wiki/1999_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/1999_Copa_Am%C3%A9rica_logo.svg/200px-1999_Copa_Am%C3%A9rica_logo.svg.png,/wiki/Uruguay_national_football_team,URY
1999,Paraguay,https://en.wikipedia.org/wiki/1999_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/1999_Copa_Am%C3%A9rica_logo.svg/200px-1999_Copa_Am%C3%A9rica_logo.svg.png,/wiki/Paraguay_national_football_team,PRY
1999,Brazil,https://en.wikipedia.org/wiki/1999_Copa_América,12,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/1999_Copa_Am%C3%A9rica_logo.svg/200px-1999_Copa_Am%C3%A9rica_logo.svg.png,/wiki/Brazil_national_football_team,BRA
